Price;Brand;Model;Engine;Year;Fuel_Type;Gear_Type;Km;Engine_Power;Engine_Capacity;WD;Color;Warranty;Seller
26750;Opel;Corsa;1.3;2005;Diesel;Manual;166500;70;1248;Front_2WD;White;No;Owner
30900;Opel;Corsa;1.3;2013;Diesel;Manual;118000;75;1248;Front_2WD;White;No;Owner
18500;Opel;Corsa;1.4;1999;Gasoline & LPG;Manual;170000;90;1389;Front_2WD;Black;No;Owner
20850;Opel;Corsa;1.4;1999;Gasoline;Manual;207000;90;1389;Front_2WD;White;No;Gallery
31500;Opel;Corsa;1.2;2008;Gasoline;Manual;175000;80;1229;Front_2WD;Black;No;Owner
50950;Opel;Corsa;1.4;2015;Gasoline;Semi Automatic;42637;90;1398;Front_2WD;White;Yes;Gallery
24900;Opel;Corsa;1.2;2005;Gasoline & LPG;Manual;204000;80;1229;Front_2WD;Grey;No;Gallery
43000;Opel;Corsa;1.2;2014;Gasoline;Manual;38000;85;1229;Front_2WD;White;No;Owner
27950;Opel;Corsa;1.2;2012;Gasoline;Semi Automatic;43000;85;1229;Front_2WD;Black;No;Gallery
29500;Opel;Corsa;1.3;2005;Diesel;Manual;176000;70;1248;Front_2WD;White;No;Owner
44750;Opel;Corsa;1.2;2011;Gasoline;Semi Automatic;116000;85;1229;Front_2WD;White;No;Owner
26500;Opel;Corsa;1.4;2001;Gasoline & LPG;Manual;134000;90;1389;Front_2WD;Silver Grey;No;Gallery
42000;Opel;Corsa;1.3;2013;Diesel;Manual;139665;95;1248;Front_2WD;White;No;Gallery
36250;Opel;Corsa;1.3;2008;Diesel;Manual;131000;51;1201;Front_2WD;Grey;No;Owner
29500;Opel;Corsa;1.3;2007;Diesel;Manual;195000;75;1248;Front_2WD;White;No;Gallery
30500;Opel;Corsa;1.3;2008;Diesel;Manual;156000;75;1248;Front_2WD;Grey;No;Owner
59999;Opel;Corsa;1.4;2015;Gasoline;Semi Automatic;44000;90;1398;Front_2WD;Red;Yes;Gallery
59999;Opel;Corsa;1.4;2015;Gasoline;Semi Automatic;32000;90;1398;Front_2WD;White;Yes;Gallery
46750;Opel;Corsa;1.2;2011;Gasoline;Semi Automatic;39000;85;1229;Front_2WD;Black;No;Owner
26500;Opel;Corsa;1.4;2000;Gasoline;Automatic;50000;90;1389;Front_2WD;Yellow;No;Owner
26250;Opel;Corsa;1.3;2004;Diesel;Manual;206000;70;1248;Front_2WD;Green;No;Owner
31400;Opel;Corsa;1.3;2006;Diesel;Manual;170000;70;1248;Front_2WD;Silver Grey;No;Gallery
56000;Opel;Corsa;1.4;2016;Gasoline;Automatic;8500;90;1398;Front_2WD;Grey;Yes;Owner
33500;Opel;Corsa;1.3;2005;Diesel;Semi Automatic;121000;70;1248;Front_2WD;Grey;No;Gallery
24000;Opel;Corsa;1.4;1998;Gasoline;Automatic;160000;90;1389;Front_2WD;Burgundy;No;Gallery
34750;Opel;Corsa;1.3;2011;Diesel;Manual;225000;75;1248;Front_2WD;White;No;Gallery
43500;Opel;Corsa;1.2;2014;Gasoline;Manual;15000;85;1229;Front_2WD;White;No;Owner
19500;Opel;Corsa;1.2;2000;Gasoline;Manual;179000;65;1199;Front_2WD;White;No;Owner
45000;Opel;Corsa;1.3;2013;Diesel;Manual;70000;75;1248;Front_2WD;Grey;No;Owner
25000;Opel;Corsa;1.3;2005;Diesel;Manual;274000;70;1248;Front_2WD;Black;No;Owner
62750;Opel;Corsa;1.4;2015;Gasoline;Semi Automatic;34000;90;1398;Front_2WD;White;Yes;Gallery
44750;Opel;Corsa;1.3;2013;Diesel;Manual;36400;75;1248;Front_2WD;White;No;Owner
31500;Opel;Corsa;1.2;2007;Gasoline;Manual;270000;101;1201;Front_2WD;Silver Grey;No;Owner
23500;Opel;Corsa;1.7;2003;Diesel;Manual;205000;126;1601;Front_2WD;White;No;Owner
29000;Opel;Corsa;1.3;2007;Diesel;Manual;165000;76;1201;Front_2WD;White;No;Owner
24000;Opel;Corsa;1.4;2000;Gasoline & LPG;Manual;204000;90;1389;Front_2WD;Red;No;Owner
27500;Opel;Corsa;1.4;2001;Gasoline & LPG;Manual;213000;90;1389;Front_2WD;Red;No;Owner
31500;Opel;Corsa;1.3;2006;Diesel;Manual;174000;70;1248;Front_2WD;Grey;No;Gallery
41900;Opel;Corsa;1.2;2014;Gasoline;Manual;43000;85;1229;Front_2WD;White;No;Owner
21000;Opel;Corsa;1.3;2006;Diesel;Manual;233000;70;1248;Front_2WD;White;No;Owner
32000;Opel;Corsa;1.3;2006;Diesel;Manual;110000;70;1248;Front_2WD;White;Yes;Owner
22000;Opel;Corsa;1.2;1999;Gasoline;Manual;174975;65;1199;Front_2WD;Red;No;Owner
29000;Opel;Corsa;1.2;2005;Gasoline;Manual;110000;80;1229;Front_2WD;Red;No;Gallery
44000;Opel;Corsa;1.3;2010;Diesel;Manual;98520;90;1248;Front_2WD;Grey;No;Gallery
48850;Opel;Corsa;1.4;2015;Gasoline & LPG;Semi Automatic;70000;76;1201;Front_2WD;White;Yes;Owner
48750;Opel;Corsa;1.4;2016;Gasoline & LPG;Semi Automatic;15000;76;1201;Front_2WD;White;Yes;Gallery
15000;Opel;Corsa;1.4;1997;Gasoline & LPG;Manual;182000;60;1389;Front_2WD;Green;No;Owner
28000;Opel;Corsa;1.2;2007;Gasoline & LPG;Manual;207000;80;1229;Front_2WD;Grey;No;Owner
35999;Opel;Corsa;1.3;2011;Diesel;Manual;150000;75;1248;Front_2WD;Black;No;Gallery
28000;Opel;Corsa;1.2;2005;Gasoline & LPG;Manual;210000;80;1229;Front_2WD;Silver Grey;No;Gallery
51500;Opel;Corsa;1.4;2015;Gasoline;Automatic;81000;100;1364;Front_2WD;White;Yes;Gallery
25000;Opel;Corsa;1.3;2005;Diesel;Semi Automatic;220000;70;1248;Front_2WD;White;No;Gallery
19500;Opel;Corsa;1.4;1997;Gasoline;Manual;137000;76;1401;Front_2WD;Green;No;Owner
53000;Opel;Corsa;1.2;2014;Gasoline;Semi Automatic;81000;85;1229;Front_2WD;Navy Blue;No;Gallery
28000;Opel;Corsa;1.3;2006;Diesel;Semi Automatic;167000;70;1248;Front_2WD;Smoked;No;Owner
32750;Opel;Corsa;1.2;2006;Gasoline;Manual;134500;80;1229;Front_2WD;Silver Grey;Yes;Gallery
16150;Opel;Corsa;1.5;2000;Diesel;Manual;270000;67;1488;Front_2WD;Silver Grey;No;Gallery
61250;Opel;Corsa;1.4;2017;Gasoline;Automatic;6200;90;1398;Front_2WD;Black;Yes;Gallery
26000;Opel;Corsa;1.2;2005;Gasoline;Manual;140000;80;1229;Front_2WD;Burgundy;No;Gallery
25000;Opel;Corsa;1.2;2004;Gasoline;Manual;181000;80;1229;Front_2WD;Silver Grey;No;Owner
31800;Opel;Corsa;1.3;2009;Diesel;Manual;161000;51;1201;Front_2WD;White;No;Owner
32000;Opel;Corsa;1.2;2007;Gasoline;Manual;109000;80;1229;Front_2WD;Green;No;Owner
41250;Opel;Corsa;1.3;2011;Diesel;Manual;129000;75;1248;Front_2WD;Silver Grey;Yes;Owner
25750;Opel;Corsa;1.4;2000;Gasoline & LPG;Automatic;164000;90;1389;Front_2WD;Blue;No;Gallery
30500;Opel;Corsa;1.2;2005;Gasoline;Semi Automatic;169000;76;1200;Front_2WD;Smoked;No;Owner
48500;Opel;Corsa;1.4;2012;Gasoline;Automatic;60500;100;1364;Front_2WD;Brown;No;Gallery
39750;Opel;Corsa;1.3;2013;Diesel;Manual;135000;51;1201;Front_2WD;White;No;Owner
53500;Opel;Corsa;1.4;2013;Gasoline;Automatic;61000;100;1364;Front_2WD;Brown;No;Gallery
18750;Opel;Corsa;1.7;2003;Diesel;Manual;310000;201;1601;Front_2WD;White;Yes;Gallery
41750;Opel;Corsa;1.4;2009;Gasoline;Automatic;83000;90;1364;Front_2WD;Grey;No;Owner
25000;Opel;Corsa;1.2;2003;Gasoline;Manual;175000;75;1199;Front_2WD;White;No;Owner
46500;Opel;Corsa;1.2;2011;Gasoline;Manual;21000;126;1200;Front_2WD;Silver Grey;No;Owner
27750;Opel;Corsa;1.2;2002;Gasoline & LPG;Semi Automatic;149873;75;1199;Front_2WD;White;No;Owner
20000;Opel;Corsa;1.3;2004;Diesel;Manual;180000;70;1248;Front_2WD;White;No;Owner
36900;Opel;Corsa;1.3;2012;Diesel;Manual;149000;75;1248;Front_2WD;White;Yes;Owner
25500;Opel;Corsa;1;2004;Gasoline;Manual;170000;60;998;Front_2WD;White;No;Owner
47750;Opel;Corsa;1.4;2013;Gasoline;Automatic;75000;100;1364;Front_2WD;Black;No;Gallery
49750;Opel;Corsa;1.4;2012;Gasoline & LPG;Automatic;81120;100;1364;Front_2WD;Black;No;Owner
61250;Opel;Corsa;1.4;2016;Gasoline;Semi Automatic;4000;90;1398;Front_2WD;Red;Yes;Gallery
22750;Opel;Corsa;1.4;1998;Gasoline & LPG;Manual;137000;90;1389;Front_2WD;Blue;No;Gallery
38750;Opel;Corsa;1.3;2014;Diesel;Manual;90000;75;1248;Front_2WD;White;No;Gallery
31750;Opel;Corsa;1.3;2004;Diesel;Manual;102000;70;1248;Front_2WD;White;No;Gallery
14000;Opel;Corsa;1.4;1997;Gasoline & LPG;Manual;192000;60;1389;Front_2WD;Blue;No;Owner
26071;Opel;Corsa;1.7;2003;Diesel;Manual;205000;51;1601;Front_2WD;Silver Grey;No;Owner
43900;Opel;Corsa;1.2;2015;Gasoline;Manual;108000;70;1229;Front_2WD;White;No;Gallery
29750;Opel;Corsa;1.3;2004;Diesel;Semi Automatic;200000;70;1248;Front_2WD;Grey;Yes;Gallery
38750;Opel;Corsa;1.2;2009;Gasoline & LPG;Manual;64300;80;1229;Front_2WD;Silver Grey;No;Owner
32750;Opel;Corsa;1.4;2004;Gasoline;Semi Automatic;92000;90;1364;Front_2WD;Red;No;Owner
26000;Opel;Corsa;1;2003;Gasoline;Semi Automatic;183500;58;973;Front_2WD;Silver Grey;No;Owner
22500;Opel;Corsa;1.4;1998;Gasoline & LPG;Manual;84000;90;1389;Front_2WD;Yellow;No;Owner
26000;Opel;Corsa;1.3;2005;Diesel;Manual;134000;70;1248;Front_2WD;Silver Grey;No;Owner
25500;Opel;Corsa;1.3;2004;Diesel;Manual;219000;70;1248;Front_2WD;Black;No;Owner
19500;Opel;Corsa;1.2;2002;Gasoline;Manual;92250;75;1199;Front_2WD;Red;No;Owner
44250;Opel;Corsa;1.2;2013;Gasoline;Semi Automatic;84500;85;1229;Front_2WD;Red;No;Owner
21500;Opel;Corsa;1.4;1997;Gasoline & LPG;Automatic;214000;60;1389;Front_2WD;Red;No;Owner
26500;Opel;Corsa;1.3;2006;Diesel;Manual;184000;70;1248;Front_2WD;Blue;No;Owner
46000;Opel;Corsa;1.2;2014;Gasoline;Semi Automatic;42638;85;1229;Front_2WD;White;No;Owner
38500;Opel;Corsa;1.2;2007;Gasoline;Semi Automatic;112000;80;1229;Front_2WD;Blue;No;Owner
61500;Opel;Corsa;1.4;2016;Gasoline;Automatic;9500;76;1201;Front_2WD;White;Yes;Owner
27750;Opel;Corsa;1.3;2005;Diesel;Manual;194000;70;1248;Front_2WD;Smoked;No;Gallery
12000;Opel;Corsa;1.4;1992;Gasoline & LPG;Manual;99000;51;1401;Front_2WD;Green;No;Owner
26750;Opel;Corsa;1.3;2007;Diesel;Manual;198000;75;1248;Front_2WD;White;Yes;Gallery
22000;Opel;Corsa;1.4;1998;Gasoline & LPG;Automatic;112500;90;1389;Front_2WD;Navy Blue;No;Owner
30750;Opel;Corsa;1.2;2007;Gasoline;Semi Automatic;172000;80;1229;Front_2WD;Black;No;Gallery
39950;Opel;Corsa;1.2;2010;Gasoline;Manual;37000;76;1200;Front_2WD;Grey;No;Gallery
32750;Opel;Corsa;1.2;2005;Gasoline;Automatic;119000;76;1200;Front_2WD;Silver Grey;No;Owner
28000;Opel;Corsa;1.3;2005;Diesel;Manual;203000;70;1248;Front_2WD;Black;No;Owner
17000;Opel;Corsa;1.2;1999;Gasoline & LPG;Manual;197000;65;1199;Front_2WD;Red;Yes;Owner
38900;Opel;Corsa;1.2;2009;Gasoline;Semi Automatic;75000;76;1200;Front_2WD;Blue;No;Owner
25000;Opel;Corsa;1.4;2003;Gasoline & LPG;Manual;186000;90;1389;Front_2WD;Silver Grey;No;Owner
37950;Opel;Corsa;1.3;2011;Diesel;Manual;143000;90;1248;Front_2WD;White;Yes;Gallery
42000;Opel;Corsa;1.2;2013;Gasoline;Manual;44000;85;1229;Front_2WD;Grey;No;Owner
44750;Opel;Corsa;1.3;2013;Diesel;Manual;73400;75;1248;Front_2WD;White;No;Owner
25500;Opel;Corsa;1.3;2006;Diesel;Manual;180000;51;1201;Front_2WD;White;No;Gallery
43500;Opel;Corsa;1.3;2013;Diesel;Manual;208000;75;1248;Front_2WD;White;No;Gallery
18500;Opel;Corsa;1.4;2000;Gasoline & LPG;Manual;192500;76;1201;Front_2WD;White;Yes;Gallery
29500;Opel;Corsa;1.2;2007;Gasoline & LPG;Manual;147000;51;1201;Front_2WD;Blue;Yes;Owner
43250;Opel;Corsa;1.4;2009;Gasoline;Automatic;59000;90;1364;Front_2WD;Grey;No;Owner
41000;Opel;Corsa;1.4;2011;Gasoline;Manual;101026;100;1364;Front_2WD;Smoked;No;Owner
35500;Opel;Corsa;1.3;2004;Diesel;Manual;126000;70;1248;Front_2WD;White;No;Owner
37250;Opel;Corsa;1.3;2011;Diesel;Manual;128200;75;1248;Front_2WD;White;No;Owner
17750;Opel;Corsa;1.3;2006;Diesel;Manual;250000;70;1248;Front_2WD;White;No;Owner
45000;Opel;Corsa;1.3;2013;Diesel;Manual;138000;76;1201;Front_2WD;White;No;Owner
33500;Opel;Corsa;1.3;2007;Diesel;Manual;171000;76;1201;Front_2WD;Beige;No;Owner
30750;Opel;Corsa;1.3;2006;Diesel;Manual;158000;75;1248;Front_2WD;White;No;Owner
39900;Opel;Corsa;1.3;2013;Diesel;Manual;192000;75;1248;Front_2WD;White;Yes;Gallery
34000;Opel;Corsa;1.3;2007;Diesel;Manual;147000;75;1248;Front_2WD;Black;No;Owner
30750;Opel;Corsa;1.4;2007;Gasoline & LPG;Manual;178000;90;1364;Front_2WD;Red;No;Gallery
36400;Opel;Corsa;1.2;2007;Gasoline;Manual;55000;80;1229;Front_2WD;Blue;No;Owner
45500;Opel;Corsa;1.4;2011;Gasoline & LPG;Automatic;82000;100;1364;Front_2WD;Black;No;Gallery
26500;Opel;Corsa;1.2;2004;Gasoline & LPG;Manual;174000;76;1200;Front_2WD;Green;No;Gallery
42500;Opel;Corsa;1.4;2013;Gasoline;Manual;60000;100;1364;Front_2WD;Black;No;Gallery
19500;Opel;Corsa;1.4;1997;Gasoline & LPG;Automatic;187000;60;1389;Front_2WD;Burgundy;No;Owner
58000;Opel;Corsa;1.4;2016;Gasoline;Automatic;12000;90;1398;Front_2WD;White;Yes;Owner
41500;Opel;Corsa;1.3;2013;Diesel;Manual;80000;75;1248;Front_2WD;White;No;Gallery
40000;Opel;Corsa;1.3;2010;Diesel;Manual;170000;75;1248;Front_2WD;Silver Grey;No;Owner
46500;Opel;Corsa;1.4;2011;Gasoline;Automatic;53000;101;1401;Front_2WD;Silver Grey;No;Owner
29250;Opel;Corsa;1.4;2002;Gasoline & LPG;Automatic;152000;76;1201;Front_2WD;White;No;Owner
39500;Opel;Corsa;1.2;2013;Gasoline;Manual;102000;85;1229;Front_2WD;Black;No;Gallery
35000;Opel;Corsa;1.2;2009;Gasoline;Manual;52000;80;1229;Front_2WD;Blue;No;Owner
48000;Opel;Corsa;1.3;2013;Diesel;Manual;64000;75;1248;Front_2WD;White;No;Owner
51000;Opel;Corsa;1.2;2015;Gasoline;Manual;40000;70;1229;Front_2WD;White;Yes;Owner
35000;Opel;Corsa;1.3;2005;Diesel;Semi Automatic;84000;70;1248;Front_2WD;Grey;No;Owner
33900;Opel;Corsa;1.3;2006;Diesel;Manual;111000;75;1248;Front_2WD;Grey;No;Owner
18250;Opel;Corsa;1.4;1997;Gasoline & LPG;Manual;244088;76;1201;Front_2WD;Red;No;Owner
26300;Opel;Corsa;1.4;2001;Gasoline & LPG;Automatic;127500;90;1389;Front_2WD;Grey;No;Owner
43750;Opel;Corsa;1.3;2012;Diesel;Manual;118000;75;1248;Front_2WD;White;No;Gallery
60000;Opel;Corsa;1.4;2016;Gasoline;Semi Automatic;25000;90;1398;Front_2WD;White;Yes;Owner
45250;Opel;Corsa;1.4;2010;Gasoline;Manual;32567;100;1364;Front_2WD;Grey;No;Owner
56500;Opel;Corsa;1.4;2015;Gasoline;Semi Automatic;34500;90;1398;Front_2WD;White;Yes;Gallery
21250;Opel;Corsa;1.7;2003;Diesel;Manual;265000;101;1601;Front_2WD;White;No;Owner
42250;Opel;Corsa;1.3;2010;Diesel;Manual;100035;90;1248;Front_2WD;Black;No;Owner
21900;Opel;Corsa;1.4;1999;Gasoline;Manual;164000;90;1389;Front_2WD;White;No;Owner
19250;Opel;Corsa;1.2;2000;Gasoline;Manual;103000;65;1199;Front_2WD;Silver Grey;No;Owner
52000;Opel;Corsa;1.2;2014;Gasoline;Manual;8900;85;1229;Front_2WD;Brown;No;Owner
15500;Opel;Corsa;1.4;1996;Gasoline;Manual;130000;60;1389;Front_2WD;Red;No;Owner
25500;Opel;Corsa;1.2;2000;Gasoline & LPG;Manual;210000;65;1199;Front_2WD;Grey;No;Owner
22000;Opel;Corsa;1.4;1998;Gasoline & LPG;Automatic;214400;76;1201;Front_2WD;Green;No;Owner
21000;Opel;Corsa;1.4;1998;Gasoline & LPG;Automatic;155900;90;1389;Front_2WD;White;No;Owner
34000;Opel;Corsa;1.3;2007;Diesel;Manual;160000;75;1248;Front_2WD;Blue;No;Owner
34000;Opel;Corsa;1.2;2007;Gasoline & LPG;Manual;134000;80;1229;Front_2WD;Grey;No;Owner
29000;Opel;Corsa;1.3;2006;Diesel;Manual;163000;70;1248;Front_2WD;Grey;No;Owner
42000;Opel;Corsa;1.3;2014;Diesel;Manual;128150;75;1248;Front_2WD;White;No;Owner
49750;Opel;Corsa;1.4;2015;Gasoline;Automatic;70000;100;1364;Front_2WD;Smoked;No;Gallery
75000;Opel;Corsa;1.6;2012;Gasoline;Manual;35000;192;1598;Front_2WD;White;No;Owner
36250;Opel;Corsa;1.2;2008;Gasoline & LPG;Manual;95000;80;1229;Front_2WD;Red;No;Owner
24750;Opel;Corsa;1.2;2005;Gasoline & LPG;Manual;156000;80;1229;Front_2WD;Red;No;Owner
39500;Opel;Corsa;1.3;2011;Diesel;Manual;136000;75;1248;Front_2WD;White;No;Owner
15800;Opel;Corsa;1.4;1997;Gasoline & LPG;Manual;204000;90;1389;Front_2WD;Blue;No;Owner
25750;Opel;Corsa;1.3;2005;Diesel;Manual;420000;70;1248;Front_2WD;White;No;Owner
14250;Opel;Corsa;1.4;1996;Gasoline & LPG;Manual;207000;60;1389;Front_2WD;Blue;No;Owner
25000;Opel;Corsa;1.2;2004;Gasoline & LPG;Manual;245000;80;1229;Front_2WD;White;No;Owner
22250;Opel;Corsa;1.2;2000;Gasoline & LPG;Manual;206000;51;1201;Front_2WD;White;No;Owner
36000;Opel;Corsa;1.2;2009;Gasoline;Manual;67000;80;1229;Front_2WD;Blue;No;Owner
58750;Opel;Corsa;1.3;2015;Diesel;Manual;63000;75;1248;Front_2WD;Navy Blue;Yes;Gallery
36950;Opel;Corsa;1.2;2009;Gasoline;Semi Automatic;134000;80;1229;Front_2WD;Black;Yes;Gallery
